Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kobe Bryant,36.3,2016-04-13,LAL,,UTA,W,42.14833333333333,22,50,0.44,6,21,0.286,10,12,0.833,0,4,4,4,1,1,2,1,60
Stephen Curry,40.2,2016-04-13,GSW,,MEM,W,29.768333333333334,15,24,0.625,10,19,0.526,6,6,1.0,1,3,4,6,2,0,2,2,46
Nikola Mirotic,32.9,2016-04-13,CHI,,PHI,W,39.0,10,17,0.588,7,11,0.636,5,6,0.833,2,5,7,4,5,3,2,4,32
Karl-Anthony Towns,25.4,2016-04-13,MIN,,NOP,W,31.95,12,17,0.706,2,5,0.4,2,2,1.0,0,14,14,3,1,2,3,3,28
Norman Powell,27.2,2016-04-13,TOR,@,BKN,W,36.583333333333336,12,18,0.667,5,6,0.833,1,3,0.333,1,8,9,5,1,0,1,2,30
James Harden,26.5,2016-04-13,HOU,,SAC,W,30.266666666666666,13,27,0.481,5,10,0.5,7,8,0.875,2,2,4,4,0,0,1,3,38
Jordan McRae,19.6,2016-04-13,CLE,,DET,L,47.1,14,29,0.483,3,5,0.6,5,8,0.625,1,3,4,7,0,0,5,5,36
Solomon Hill,22.8,2016-04-13,IND,@,MIL,W,32.71666666666667,8,15,0.533,7,11,0.636,2,2,1.0,0,6,6,3,4,0,2,2,25
Justin Holiday,24.0,2016-04-13,CHI,,PHI,W,37.18333333333333,9,15,0.6,5,7,0.714,6,8,0.75,1,2,3,5,2,1,4,2,29
Bojan Bogdanovic,20.7,2016-04-13,BKN,,TOR,L,37.038333333333334,10,17,0.588,7,10,0.7,2,3,0.667,0,6,6,2,1,0,3,3,29
Jusuf Nurkić,9.2,2016-04-13,DEN,@,POR,L,38.84,5,13,0.385,0,0,0.0,1,4,0.25,6,8,14,4,5,3,8,5,11
Trey Lyles,17.3,2016-04-13,UTA,@,LAL,L,39.11666666666667,7,15,0.467,2,6,0.333,2,3,0.667,2,9,11,3,5,0,3,2,18
Terrence Ross,18.0,2016-04-13,TOR,@,BKN,W,28.6,9,21,0.429,5,12,0.417,1,2,0.5,2,8,10,2,0,1,0,1,24
