Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Julius Erving,52.0,1975-02-22,BKN,,LAC,"W, 126-93",36.0,19.0,23.0,13.0,15.0,8.0,11.0,19.0,4.0,4.0,2.0,6.0,2.0,51.0
David Thompson,44.4,1976-02-27,DEN,,SAS,"W, 140-116",34.0,17.0,20.0,16.0,19.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,5.0,50.0
Julius Erving,41.6,1975-02-14,BKN,@,LAC,"L, 166-176 (4OT)",66.0,25.0,51.0,13.0,19.0,7.0,16.0,23.0,8.0,2.0,2.0,10.0,5.0,63.0
Julius Erving,41.0,1976-01-09,BKN,,KEN,"W, 107-101",42.0,12.0,19.0,13.0,19.0,8.0,6.0,14.0,6.0,4.0,1.0,1.0,1.0,37.0
George McGinnis,39.9,1975-04-12,IND,,SAS,"L, 109-110",48.0,21.0,40.0,6.0,11.0,7.0,10.0,17.0,10.0,3.0,0.0,5.0,6.0,51.0
Freddie Lewis,38.3,1974-04-18,IND,,UTA,"W, 118-107",45.0,16.0,21.0,6.0,8.0,3.0,3.0,6.0,6.0,4.0,0.0,3.0,2.0,40.0
Julius Erving,37.9,1974-04-30,BKN,,UTA,"W, 89-85",47.0,19.0,29.0,9.0,10.0,1.0,9.0,10.0,3.0,2.0,1.0,3.0,3.0,47.0
Julius Erving,37.6,1976-01-10,BKN,@,SSL,"L, 130-141 (2OT)",53.0,19.0,37.0,9.0,10.0,2.0,6.0,8.0,6.0,5.0,3.0,6.0,3.0,49.0
Maurice Lucas,36.1,1975-03-28,SSL,,IND,"W, 125-96",45.0,13.0,14.0,2.0,2.0,7.0,15.0,22.0,6.0,3.0,1.0,3.0,4.0,28.0
Moses Malone,36.1,1975-04-09,UTA,,DEN,"W, 122-108",39.0,13.0,16.0,4.0,7.0,14.0,18.0,32.0,1.0,0.0,0.0,1.0,4.0,30.0
Artis Gilmore,40.6,1973-04-30,KEN,,IND,"W, 114-102",47.0,11.0,16.0,7.0,12.0,7.0,19.0,26.0,6.0,0.0,7.0,2.0,5.0,29.0
Bo Lamar,35.9,1975-02-14,LAC,,BKN,"W, 176-166 (4OT)",49.0,18.0,30.0,8.0,9.0,3.0,2.0,5.0,4.0,3.0,0.0,3.0,1.0,45.0
George Gervin,35.1,1975-04-14,SAS,,IND,"W, 123-117",46.0,16.0,31.0,10.0,13.0,8.0,9.0,17.0,2.0,1.0,1.0,1.0,2.0,42.0
Willie Wise,35.3,1973-02-19,UTA,,LAC,"W, 99-89",46.0,18.0,33.0,7.0,7.0,7.0,3.0,10.0,4.0,2.0,1.0,2.0,4.0,43.0
Larry Kenon,34.7,1975-12-21,SAS,@,SSL,"W, 108-106",44.0,17.0,30.0,8.0,9.0,7.0,8.0,15.0,3.0,1.0,1.0,3.0,2.0,42.0
Artis Gilmore,34.4,1975-05-17,KEN,@,IND,"W, 109-101",47.0,17.0,28.0,7.0,8.0,11.0,17.0,28.0,1.0,0.0,1.0,6.0,4.0,41.0
Moses Malone,34.2,1974-12-26,UTA,@,DEN,"L, 102-107",44.0,12.0,17.0,12.0,18.0,16.0,9.0,25.0,0.0,2.0,0.0,7.0,3.0,36.0
Maurice Lucas,33.9,1975-03-09,SSL,,KEN,"W, 103-92",44.0,13.0,24.0,4.0,4.0,6.0,9.0,15.0,4.0,6.0,2.0,0.0,4.0,30.0
Artis Gilmore,33.7,1975-05-22,KEN,,IND,"W, 110-105",47.0,11.0,20.0,6.0,8.0,8.0,23.0,31.0,5.0,1.0,3.0,1.0,5.0,28.0
George McGinnis,33.6,1975-03-23,IND,,UTA,"W, 117-112",48.0,16.0,27.0,11.0,15.0,2.0,9.0,11.0,5.0,2.0,1.0,5.0,4.0,44.0
Julius Erving,33.0,1975-03-12,BKN,@,SSL,"W, 124-96",32.0,11.0,16.0,5.0,5.0,4.0,7.0,11.0,8.0,2.0,3.0,1.0,2.0,27.0
Bill Keller,32.9,1974-04-01,IND,,SAS,"W, 128-101",30.0,12.0,19.0,6.0,8.0,2.0,4.0,6.0,4.0,1.0,0.0,2.0,3.0,39.0
Marvin Barnes,32.8,1976-01-10,SSL,,BKN,"W, 141-130 (2OT)",53.0,18.0,27.0,2.0,2.0,5.0,9.0,14.0,3.0,2.0,4.0,5.0,4.0,38.0
Swen Nater,32.3,1975-12-19,BKN,,SAS,"W, 113-97",37.0,13.0,16.0,1.0,1.0,11.0,16.0,27.0,2.0,1.0,0.0,2.0,4.0,27.0
Bill Keller,31.9,1974-12-26,IND,,KEN,"W, 122-111",42.0,13.0,22.0,6.0,6.0,4.0,4.0,8.0,5.0,2.0,0.0,0.0,1.0,33.0
Billy Knight,31.9,1975-05-22,IND,@,KEN,"L, 105-110",47.0,18.0,29.0,4.0,5.0,4.0,4.0,8.0,4.0,2.0,0.0,3.0,1.0,40.0
Billy Knight,31.8,1974-11-06,IND,,DEN,"W, 136-116",38.0,15.0,26.0,8.0,10.0,6.0,8.0,14.0,0.0,4.0,0.0,3.0,2.0,38.0
George McGinnis,31.8,1974-03-08,IND,,MMT,"W, 115-103",44.0,13.0,19.0,6.0,6.0,2.0,13.0,15.0,4.0,4.0,0.0,3.0,3.0,32.0
Julius Erving,37.9,1973-10-10,BKN,@,IND,"L, 99-118",46.0,19.0,36.0,4.0,4.0,8.0,10.0,18.0,3.0,0.0,4.0,5.0,3.0,42.0
George McGinnis,31.7,1975-04-10,IND,,SAS,"W, 113-103 (OT)",50.0,13.0,31.0,15.0,22.0,11.0,13.0,24.0,9.0,2.0,1.0,10.0,4.0,42.0
Artis Gilmore,37.5,1973-05-10,KEN,@,IND,"W, 109-93",46.0,13.0,20.0,3.0,5.0,5.0,16.0,21.0,6.0,1.0,2.0,2.0,2.0,29.0
Marvin Barnes,30.8,1975-04-23,SSL,@,KEN,"L, 103-108",48.0,19.0,38.0,5.0,7.0,10.0,7.0,17.0,1.0,3.0,4.0,6.0,5.0,43.0
Artis Gilmore,29.1,1973-05-03,KEN,@,IND,"W, 92-88",48.0,13.0,21.0,2.0,9.0,7.0,9.0,16.0,6.0,1.0,7.0,1.0,5.0,28.0
Artis Gilmore,30.4,1975-01-19,KEN,,DEN,"W, 114-101",41.0,15.0,19.0,4.0,7.0,4.0,16.0,20.0,2.0,1.0,3.0,6.0,3.0,34.0
George McGinnis,30.2,1975-03-14,IND,,UTA,"W, 121-111",43.0,11.0,28.0,9.0,10.0,7.0,10.0,17.0,13.0,3.0,0.0,4.0,3.0,31.0
Dan Issel,35.3,1973-04-28,KEN,,IND,"L, 107-111 (OT)",50.0,15.0,25.0,3.0,4.0,7.0,13.0,20.0,2.0,0.0,1.0,1.0,3.0,33.0
George McGinnis,29.8,1974-12-04,IND,,UTA,"W, 104-100",46.0,14.0,24.0,9.0,14.0,8.0,9.0,17.0,7.0,3.0,0.0,9.0,3.0,37.0
Donnie Freeman,29.0,1974-01-27,IND,,VIR,"W, 119-113",43.0,15.0,26.0,5.0,6.0,4.0,2.0,6.0,8.0,2.0,0.0,4.0,1.0,35.0
James Silas,28.7,1974-10-18,SAS,@,IND,"W, 129-121 (2OT)",55.0,15.0,20.0,10.0,12.0,0.0,4.0,4.0,1.0,2.0,0.0,6.0,1.0,40.0
George McGinnis,31.8,1973-03-04,IND,,DLC,"W, 121-118",48.0,14.0,28.0,8.0,11.0,5.0,8.0,13.0,5.0,3.0,0.0,3.0,4.0,36.0
Billy Cunningham,29.1,1972-10-27,CAR,,KEN,"W, 114-112",44.0,12.0,24.0,3.0,5.0,7.0,10.0,17.0,6.0,6.0,2.0,4.0,3.0,27.0
Artis Gilmore,28.3,1975-04-27,KEN,@,SSL,"W, 117-98",46.0,12.0,16.0,9.0,12.0,3.0,13.0,16.0,1.0,1.0,2.0,5.0,3.0,33.0
George McGinnis,28.3,1974-10-23,IND,,SSL,"W, 122-107",42.0,13.0,27.0,6.0,9.0,4.0,12.0,16.0,9.0,3.0,1.0,4.0,3.0,32.0
