Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar,26.5,1973-03-19,MIL,N,DET,"W, 118-99",39.0,13.0,24.0,1.0,1.0,,,13.0,4.0,,,,2.0,27.0
Kareem Abdul-Jabbar,39.5,1973-03-21,MIL,@,OKC,"W, 119-96",45.0,15.0,24.0,6.0,12.0,,,11.0,14.0,,,,2.0,36.0
Kareem Abdul-Jabbar,23.2,1973-03-22,MIL,@,GSW,"W, 108-98",42.0,11.0,25.0,5.0,6.0,,,9.0,6.0,,,,2.0,27.0
Kareem Abdul-Jabbar,40.2,1973-03-25,MIL,@,PHO,"W, 114-112",48.0,13.0,22.0,10.0,11.0,,,17.0,7.0,,,,5.0,36.0
Kareem Abdul-Jabbar,30.1,1973-03-26,MIL,@,POR,"W, 118-99",44.0,14.0,23.0,3.0,3.0,,,12.0,4.0,,,,4.0,31.0
Kareem Abdul-Jabbar,19.6,1973-03-27,MIL,@,LAL,"W, 85-84",45.0,12.0,31.0,0.0,1.0,,,18.0,1.0,,,,1.0,24.0
Kareem Abdul-Jabbar,25.1,1973-03-30,MIL,,GSW,"W, 110-90",45.0,10.0,24.0,2.0,2.0,,,24.0,1.0,,,,4.0,22.0
Kareem Abdul-Jabbar,26.2,1973-04-01,MIL,,GSW,"L, 92-95",48.0,12.0,20.0,2.0,5.0,,,15.0,3.0,,,,5.0,26.0
Kareem Abdul-Jabbar,15.6,1973-04-05,MIL,@,GSW,"W, 113-93",45.0,8.0,24.0,2.0,4.0,,,18.0,2.0,,,,5.0,18.0
Kareem Abdul-Jabbar,26.2,1973-04-07,MIL,@,GSW,"L, 97-102",44.0,8.0,19.0,9.0,10.0,,,14.0,5.0,,,,4.0,25.0
Kareem Abdul-Jabbar,12.6,1973-04-10,MIL,,GSW,"L, 97-100",48.0,8.0,24.0,3.0,10.0,,,12.0,4.0,,,,3.0,19.0
Kareem Abdul-Jabbar,21.3,1973-04-13,MIL,@,GSW,"L, 86-100",46.0,13.0,27.0,1.0,4.0,,,14.0,2.0,,,,5.0,27.0
Kareem Abdul-Jabbar,36.9,1973-02-06,MIL,,PHO,"W, 126-111",43.0,17.0,29.0,1.0,6.0,,,19.0,7.0,,,,2.0,35.0
Kareem Abdul-Jabbar,28.3,1973-03-18,MIL,@,ATL,"W, 105-104",48.0,9.0,23.0,4.0,4.0,,,20.0,8.0,,,,2.0,22.0
Kareem Abdul-Jabbar,37.8,1972-11-18,MIL,@,NYK,"L, 86-87",46.0,14.0,26.0,4.0,4.0,,,20.0,8.0,,,,3.0,32.0
Kareem Abdul-Jabbar,54.8,1972-12-28,MIL,,DET,"W, 115-91",46.0,19.0,27.0,6.0,9.0,,,28.0,7.0,,,,3.0,44.0
Kareem Abdul-Jabbar,22.2,1972-04-18,MIL,@,LAL,"L, 90-115",43.0,13.0,33.0,2.0,2.0,,,16.0,3.0,,,,3.0,28.0
Kareem Abdul-Jabbar,34.0,1972-12-29,MIL,@,HOU,"W, 114-101",43.0,19.0,31.0,1.0,4.0,,,15.0,2.0,,,,4.0,39.0
Kareem Abdul-Jabbar,51.9,1973-01-25,MIL,N,HOU,"L, 125-129",44.0,24.0,32.0,0.0,0.0,,,24.0,1.0,,,,2.0,48.0
Kareem Abdul-Jabbar,42.8,1972-12-01,MIL,,NYK,"W, 100-74",45.0,18.0,27.0,4.0,7.0,,,16.0,7.0,,,,1.0,40.0
Kareem Abdul-Jabbar,34.3,1973-03-16,MIL,@,CHI,"W, 99-91 (OT)",52.0,9.0,21.0,6.0,9.0,,,27.0,7.0,,,,3.0,24.0
Kareem Abdul-Jabbar,33.0,1972-11-17,MIL,@,BOS,"W, 95-88",46.0,13.0,28.0,6.0,9.0,,,19.0,7.0,,,,4.0,32.0
Kareem Abdul-Jabbar,38.6,1972-04-22,MIL,,LAL,"L, 100-104",48.0,16.0,37.0,5.0,5.0,,,25.0,8.0,,,,5.0,37.0
Kareem Abdul-Jabbar,30.2,1973-02-07,MIL,@,SAC,"L, 98-105",45.0,11.0,22.0,5.0,7.0,,,19.0,3.0,,,,1.0,27.0
Kareem Abdul-Jabbar,34.6,1972-11-29,MIL,,CHI,"W, 105-97",40.0,10.0,18.0,7.0,9.0,,,19.0,7.0,,,,3.0,27.0
Kareem Abdul-Jabbar,30.6,1972-11-21,MIL,,BOS,"L, 102-116",48.0,15.0,27.0,3.0,7.0,,,12.0,7.0,,,,3.0,33.0
Kareem Abdul-Jabbar,40.7,1973-03-12,MIL,,PHO,"W, 126-95",38.0,14.0,21.0,6.0,8.0,,,23.0,3.0,,,,4.0,34.0
Kareem Abdul-Jabbar,35.2,1972-11-14,MIL,,LAL,"L, 92-95",44.0,17.0,32.0,3.0,4.0,,,16.0,6.0,,,,3.0,37.0
Kareem Abdul-Jabbar,25.3,1972-03-28,MIL,,GSW,"L, 106-117",47.0,13.0,29.0,2.0,4.0,,,15.0,5.0,,,,2.0,28.0
Kareem Abdul-Jabbar,35.2,1973-02-09,MIL,,LAL,"W, 109-88",45.0,14.0,24.0,1.0,2.0,,,24.0,2.0,,,,1.0,29.0
Kareem Abdul-Jabbar,38.2,1972-12-26,MIL,@,DET,"L, 105-112",46.0,21.0,35.0,1.0,3.0,,,17.0,2.0,,,,3.0,43.0
Kareem Abdul-Jabbar,24.5,1972-12-30,MIL,@,CHI,"L, 92-99",45.0,8.0,19.0,8.0,11.0,,,18.0,0.0,,,,2.0,24.0
Kareem Abdul-Jabbar,28.5,1973-01-21,MIL,,GSW,"W, 124-108",40.0,8.0,18.0,11.0,13.0,,,13.0,6.0,,,,4.0,27.0
