Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,Kemba Walker,43.7,2018-11-17,28-193,CHO,,PHI,"L, 119-122 (OT)",*,45,21,34,.618,15,20,.750,6,14,.429,12,12,1.000,.764,0,7,7,4,4,0,9,2,60,43.7,18.5,1,G
,Kemba Walker,41.4,2016-01-18,25-255,CHO,,UTA,"W, 124-119 (2OT)",*,47,16,33,.485,10,22,.455,6,11,.545,14,15,.933,.657,1,8,9,8,2,0,3,3,52,41.4,16.7,4,G
,Kemba Walker,40.9,2018-03-22,27-318,CHO,,MEM,"W, 140-79",*,28,13,18,.722,3,4,.750,10,14,.714,10,10,1.000,1.027,0,3,3,4,1,0,2,1,46,40.9,36.4,47,G
,Terry Rozier,40.4,2023-12-29,29-287,CHO,@,PHO,"L, 119-133",*,39,14,22,.636,6,10,.600,8,12,.667,6,6,1.000,.852,1,3,4,8,1,0,0,0,42,40.4,19.6,-1,G
,Gerald Wallace,39.4,2006-03-28,23-248,CHA,,ATL,"W, 125-117",*,43,17,22,.773,17,21,.810,0,1,.000,7,11,.636,.764,3,5,8,4,3,2,1,3,41,39.4,14.7,16,F
,Kelly Tripucka,39.3,1989-02-25,30-009,CHH,,SAS,"W, 124-113",*,38,15,22,.682,15,22,.682,0,0,,10,11,.909,.745,3,2,5,9,4,1,3,4,40,39.3,18.6,,F-G
,Kemba Walker,39.2,2017-11-17,27-193,CHO,@,CHI,"L, 120-123",*,38,17,27,.630,12,18,.667,5,9,.556,8,9,.889,.759,1,5,6,5,0,0,1,0,47,39.2,15.6,3,G
,Gerald Wallace,38.9,2006-12-27,24-157,CHA,,WAS,"L, 107-114",*,42,15,27,.556,15,25,.600,0,2,.000,10,11,.909,.628,6,8,14,0,6,4,2,3,40,38.9,19.7,-10,F
,Miles Bridges,38.8,2024-02-07,25-323,CHO,,TOR,"L, 117-123",*,38,17,27,.630,11,16,.688,6,11,.545,5,7,.714,.748,5,3,8,7,0,0,1,4,45,38.8,17.5,-6,G-F
,Alonzo Mourning,38.5,1993-04-16,23-067,CHH,,DET,"W, 127-93",*,28,15,19,.789,15,19,.789,0,0,,6,7,.857,.815,9,13,22,1,0,3,2,2,36,38.5,22.8,,C-F
,Miles Bridges,38.4,2025-02-20,26-336,CHO,@,DEN,"L, 115-129",*,34,12,23,.522,7,13,.538,5,10,.500,7,7,1.000,.690,4,9,13,7,3,1,0,1,36,38.4,24.9,1,G-F
,LaMelo Ball,38.1,2025-10-26,24-065,CHO,@,WAS,"W, 139-113",*,35,13,25,.520,8,13,.615,5,12,.417,7,7,1.000,.677,4,9,13,13,3,0,4,3,38,38.1,16.8,32,G
,Stephen Jackson,37.9,2010-01-12,31-282,CHA,,HOU,"W, 102-94",*,43,15,22,.682,12,17,.706,3,5,.600,10,11,.909,.801,2,6,8,3,3,0,2,4,43,37.9,19.1,12,F-G
,P.J. Washington,37.6,2021-02-28,22-189,CHO,@,SAC,"W, 127-126",*,42,15,22,.682,10,14,.714,5,8,.625,7,7,1.000,.837,1,7,8,2,2,2,1,4,42,37.6,13.5,-5,F
,Kemba Walker,37.2,2016-11-11,26-187,CHO,,TOR,"L, 111-113",*,35,12,19,.632,5,7,.714,7,12,.583,9,11,.818,.839,1,9,10,7,0,0,1,2,40,37.2,27.0,13,G
,LaMelo Ball,37.1,2022-02-11,20-173,CHO,@,DET,"W, 141-119",*,32,10,14,.714,3,5,.600,7,9,.778,4,5,.800,.957,3,2,5,12,4,0,2,2,31,37.1,27.1,16,G
,Kemba Walker,37.1,2015-11-23,25-199,CHO,,SAC,"W, 127-122 (OT)",*,47,16,23,.696,12,17,.706,4,6,.667,3,4,.750,.788,2,4,6,5,2,3,2,0,39,37.1,15.2,11,G
,Kemba Walker,37.0,2018-12-29,28-235,CHO,@,WAS,"L, 126-130",*,36,18,29,.621,12,20,.600,6,9,.667,5,8,.625,.723,1,3,4,4,1,1,1,2,47,37.0,16.2,-4,G
,Johnny Newman,36.9,1992-01-25,28-058,CHH,,IND,"W, 107-105",*,42,14,19,.737,13,16,.813,1,3,.333,12,13,.923,.829,0,1,1,5,4,0,3,2,41,36.9,16.4,,F-G
,P.J. Washington,36.7,2024-01-27,25-157,CHO,,UTA,"L, 122-134",,36,17,22,.773,10,13,.769,7,9,.778,2,3,.667,.922,1,1,2,3,2,0,2,1,43,36.7,17.9,-7,F
,Miles Bridges,36.6,2022-01-17,23-302,CHO,@,NYK,"W, 97-87",*,39,14,20,.700,9,11,.818,5,9,.556,5,5,1.000,.856,1,11,12,5,1,1,1,3,38,36.6,25.6,26,G-F
,Mark Williams,36.4,2025-01-22,23-037,CHO,@,MEM,"L, 120-132",*,33,14,18,.778,14,18,.778,0,0,,10,13,.769,.801,4,5,9,5,1,0,1,3,38,36.4,17.6,-11,C
,Baron Davis,36.3,2002-02-15,22-308,CHH,,IND,"W, 116-106",*,44,10,17,.588,7,11,.636,3,6,.500,15,17,.882,.776,1,5,6,8,2,2,3,3,38,36.3,15.6,12,G
,Kemba Walker,36.3,2016-01-22,25-259,CHO,@,ORL,"W, 120-116 (OT)",*,46,14,28,.500,12,21,.571,2,7,.286,10,12,.833,.601,0,7,7,9,4,1,2,0,40,36.3,14.3,7,G
,LaMelo Ball,36.1,2026-02-22,24-184,CHO,@,WAS,"W, 129-112",*,27,12,20,.600,2,5,.400,10,15,.667,3,3,1.000,.868,1,7,8,7,1,0,0,1,37,36.1,31.6,20,G
,Terry Rozier,36.1,2024-01-08,29-297,CHO,,CHI,"L, 112-119 (OT)",*,44,10,18,.556,3,5,.600,7,13,.538,12,12,1.000,.838,0,3,3,8,0,0,0,2,39,36.1,17.1,-9,G
,Gordon Hayward,35.9,2021-12-15,31-267,CHO,@,SAS,"W, 131-115",*,29,15,19,.789,10,13,.769,5,6,.833,6,6,1.000,.947,0,5,5,3,0,0,1,1,41,35.9,19.5,35,F-G
,Kemba Walker,35.8,2019-03-11,28-307,CHO,@,HOU,"L, 106-118",*,40,14,20,.700,8,14,.571,6,6,1.000,6,7,.857,.867,1,9,10,7,0,1,4,1,40,35.8,17.4,-5,G
,Gerald Wallace,35.6,2010-02-22,27-214,CHA,@,LAC,"L, 94-98",*,48,10,17,.588,8,13,.615,2,4,.500,10,11,.909,.733,3,9,12,5,4,0,0,1,32,35.6,14.5,-4,F
,Hersey Hawkins,35.5,1994-02-09,27-133,CHH,,GSW,"L, 116-126",*,44,14,18,.778,12,14,.857,2,4,.500,11,13,.846,.864,3,6,9,5,1,1,6,2,41,35.5,10.1,,G
,Gordon Hayward,35.5,2021-01-06,30-289,CHO,@,ATL,"W, 102-94",*,39,15,25,.600,11,16,.688,4,9,.444,10,12,.833,.727,2,5,7,2,1,1,1,3,44,35.5,17.2,10,F-G
,Alonzo Mourning,35.5,1994-04-23,24-074,CHH,,DET,"W, 108-103",*,40,14,22,.636,14,22,.636,0,0,,11,15,.733,.682,6,6,12,2,1,5,2,5,39,35.5,9.8,,C-F
,Larry Johnson,35.4,1996-03-08,26-360,CHH,@,ORL,"L, 112-117 (OT)",*,49,12,20,.600,7,11,.636,5,9,.556,6,7,.857,.758,3,5,8,9,2,1,1,4,35,35.4,18.3,,F
