Rk,Player,GmSc,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,#ERROR!,Pos.
1,Shai Gilgeous-Alexander,32.5,2026-05-30,27-322,OKC,,SAS,"L, 103-111",*,43,12,21,0.571,10,16,0.625,2,5,0.4,9,11,0.818,0.677,1,3,4,9,3,1,3,1,35,32.5,17.1,-7,G
2,Cason Wallace,18,2026-05-30,22-204,OKC,,SAS,"L, 103-111",*,36,6,10,0.6,1,1,1,5,9,0.556,0,0,,0.85,2,5,7,4,2,1,2,2,17,18,13.5,-3,G
3,Julian Champagnie,16.4,2026-05-30,24-335,SAS,@,OKC,"W, 111-103",*,38,6,11,0.545,0,1,0,6,10,0.6,2,3,0.667,0.812,1,5,6,1,1,0,1,2,20,16.4,10.7,16,F
4,Victor Wembanyama,16.1,2026-05-30,22-146,SAS,@,OKC,"W, 111-103",*,42,7,15,0.467,4,10,0.4,3,5,0.6,5,7,0.714,0.608,1,6,7,2,1,1,1,5,22,16.1,4.4,7,C-F
5,De'Aaron Fox,12.7,2026-05-30,28-161,SAS,@,OKC,"W, 111-103",*,36,6,12,0.5,3,5,0.6,3,7,0.429,0,0,,0.625,0,0,0,5,3,0,2,2,15,12.7,6.9,3,G
6,Jaylin Williams,12.1,2026-05-30,23-335,OKC,,SAS,"L, 103-111",,26,5,9,0.556,4,6,0.667,1,3,0.333,0,0,,0.611,3,7,10,4,0,0,0,4,11,12.1,7.4,10,F
7,Dylan Harper,11.4,2026-05-30,20-089,SAS,@,OKC,"W, 111-103",,27,5,8,0.625,3,5,0.6,2,3,0.667,0,0,,0.75,3,4,7,3,0,0,2,1,12,11.4,6.8,9,G
8,Stephon Castle,8.9,2026-05-30,21-210,SAS,@,OKC,"W, 111-103",*,36,7,15,0.467,7,12,0.583,0,3,0,2,3,0.667,0.49,4,2,6,6,1,0,6,4,16,8.9,-4.2,1,G
9,Keldon Johnson,8.8,2026-05-30,26-231,SAS,@,OKC,"W, 111-103",,16,4,8,0.5,2,3,0.667,2,5,0.4,1,2,0.5,0.619,2,1,3,1,1,0,0,3,11,8.8,10.4,6,G
10,Devin Vassell,8.7,2026-05-30,25-280,SAS,@,OKC,"W, 111-103",*,33,4,14,0.286,3,8,0.375,1,6,0.167,2,2,1,0.37,1,5,6,3,2,0,0,1,11,8.7,0,0,G-F
11,Jared McCain,5.1,2026-05-30,22-099,OKC,,SAS,"L, 103-111",,23,5,12,0.417,3,5,0.6,2,7,0.286,0,0,,0.5,0,1,1,0,1,0,1,2,12,5.1,-4.2,-8,G
12,Alex Caruso,4.6,2026-05-30,32-091,OKC,,SAS,"L, 103-111",,39,3,14,0.214,2,8,0.25,1,6,0.167,5,6,0.833,0.361,0,5,5,4,0,1,3,1,12,4.6,-8.7,-5,G
13,Chet Holmgren,4.4,2026-05-30,24-029,OKC,,SAS,"L, 103-111",*,33,1,2,0.5,1,2,0.5,0,0,,2,4,0.5,0.532,1,3,4,0,2,2,2,2,4,4.4,-4.7,-3,F-C
14,Isaiah Hartenstein,3.8,2026-05-30,28-025,OKC,,SAS,"L, 103-111",*,21,3,7,0.429,3,7,0.429,0,0,,1,1,1,0.47,2,3,5,0,1,0,2,2,7,3.8,-8.9,-14,C-F
15,Luke Kornet,3,2026-05-30,30-319,SAS,@,OKC,"W, 111-103",,6,0,3,0,0,3,0,0,0,,2,2,1,0.258,3,1,4,0,0,1,0,0,2,3,-3.7,1,C-F
16,Carter Bryant,2,2026-05-30,20-185,SAS,@,OKC,"W, 111-103",,3,1,1,1,1,1,1,0,0,,0,0,,1,0,1,1,0,0,0,0,0,2,2,14.2,2,G-F
17,Luguentz Dort,1.5,2026-05-30,27-041,OKC,,SAS,"L, 103-111",*,16,1,4,0.25,0,1,0,1,3,0.333,0,0,,0.375,0,1,1,2,0,0,0,2,3,1.5,-3.5,-9,G
18,Kenrich Williams,0.3,2026-05-30,31-179,OKC,,SAS,"L, 103-111",,4,1,4,0.25,1,2,0.5,0,2,0,0,0,,0.25,1,0,1,0,0,0,0,0,2,0.3,-20.2,-1,G-F
19,Harrison Barnes,-0.7,2026-05-30,34-000,SAS,@,OKC,"W, 111-103",,3,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,-0.7,-17.6,-5,F
1,Victor Wembanyama,22.8,2026-06-05,22-152,SAS,,NYK,"L, 104-105",*,40,11,21,0.524,9,15,0.6,2,6,0.333,5,8,0.625,0.591,3,6,9,2,2,4,4,2,29,22.8,7.1,6,C-F
2,Karl-Anthony Towns,21.4,2026-06-05,30-202,NYK,@,SAS,"W, 105-104",*,34,8,12,0.667,5,7,0.714,3,5,0.6,2,2,1,0.815,3,10,13,4,1,1,2,5,21,21.4,11.4,11,C-F
3,Mikal Bridges,19.3,2026-06-05,29-279,NYK,@,SAS,"W, 105-104",*,41,8,13,0.615,4,7,0.571,4,6,0.667,0,0,,0.769,0,6,6,6,1,0,1,2,20,19.3,8,7,F-G
4,OG Anunoby,17.1,2026-06-05,28-323,NYK,@,SAS,"W, 105-104",*,37,5,10,0.5,3,5,0.6,2,5,0.4,5,5,1,0.697,0,4,4,3,2,2,0,4,17,17.1,7.9,-9,F
5,De'Aaron Fox,16.1,2026-06-05,28-167,SAS,,NYK,"L, 104-105",*,34,8,12,0.667,6,10,0.6,2,2,1,2,2,1,0.776,0,3,3,5,1,1,4,2,20,16.1,6.9,2,G
6,Victor Wembanyama,15.8,2026-06-03,22-150,SAS,,NYK,"L, 95-105",*,38,6,21,0.286,4,12,0.333,2,9,0.222,12,13,0.923,0.487,3,9,12,2,1,3,6,2,26,15.8,4.5,-3,C-F
7,Karl-Anthony Towns,15.4,2026-06-03,30-200,NYK,@,SAS,"W, 105-95",*,34,7,15,0.467,7,13,0.538,0,2,0,4,4,1,0.537,4,8,12,4,0,1,2,4,18,15.4,4.4,14,C-F
8,Devin Vassell,15.4,2026-06-05,25-286,SAS,,NYK,"L, 104-105",*,38,4,9,0.444,1,2,0.5,3,7,0.429,3,3,1,0.678,0,9,9,5,0,1,0,2,14,15.4,8.2,6,G-F
9,Julian Champagnie,14.7,2026-06-03,24-339,SAS,,NYK,"L, 95-105",*,31,5,11,0.455,0,1,0,5,10,0.5,1,2,0.5,0.673,3,7,10,1,0,1,0,2,16,14.7,12.7,-8,F
10,Dylan Harper,13.7,2026-06-03,20-093,SAS,,NYK,"L, 95-105",,28,6,10,0.6,5,6,0.833,1,4,0.25,3,3,1,0.707,0,8,8,1,1,0,1,2,16,13.7,8.9,-5,G
11,OG Anunoby,13.2,2026-06-03,28-321,NYK,@,SAS,"W, 105-95",*,31,5,12,0.417,2,6,0.333,3,6,0.5,4,4,1,0.618,0,3,3,0,1,1,0,0,17,13.2,7.8,-6,F
12,Josh Hart,12.5,2026-06-03,31-089,NYK,@,SAS,"W, 105-95",*,27,1,5,0.2,1,2,0.5,0,3,0,1,1,1,0.276,2,13,15,6,4,1,0,4,3,12.5,13.1,22,F-G
13,Jalen Brunson,11.6,2026-06-05,29-278,NYK,@,SAS,"W, 105-104",*,38,7,25,0.28,5,17,0.294,2,8,0.25,4,5,0.8,0.368,2,3,5,6,5,0,4,2,20,11.6,-1.2,-10,G
14,Stephon Castle,11.1,2026-06-03,21-214,SAS,,NYK,"L, 95-105",*,34,7,16,0.438,6,11,0.545,1,5,0.2,2,2,1,0.504,3,5,8,3,0,0,2,3,17,11.1,1.8,-9,G
15,Jalen Brunson,11,2026-06-03,29-276,NYK,@,SAS,"W, 105-95",*,37,12,31,0.387,10,22,0.455,2,9,0.222,4,4,1,0.458,1,2,3,2,0,0,4,2,30,11,-3.4,6,G
16,Dylan Harper,10.7,2026-06-05,20-095,SAS,,NYK,"L, 104-105",,32,6,12,0.5,6,9,0.667,0,3,0,3,4,0.75,0.545,1,5,6,3,1,0,2,3,15,10.7,-0.5,12,G
17,Landry Shamet,9.3,2026-06-05,29-084,NYK,@,SAS,"W, 105-104",,30,5,12,0.417,2,5,0.4,3,7,0.429,0,0,,0.542,0,2,2,2,0,1,0,0,13,9.3,1.8,9,G
18,Mikal Bridges,9.2,2026-06-03,29-277,NYK,@,SAS,"W, 105-95",*,28,3,6,0.5,3,6,0.5,0,0,,3,4,0.75,0.58,2,1,3,3,2,0,1,3,9,9.2,4.2,11,F-G
19,Devin Vassell,7.9,2026-06-03,25-284,SAS,,NYK,"L, 95-105",*,36,4,11,0.364,3,5,0.6,1,6,0.167,0,0,,0.409,4,5,9,3,0,0,1,1,9,7.9,0.8,-13,G-F
20,Landry Shamet,7.4,2026-06-03,29-082,NYK,@,SAS,"W, 105-95",,33,5,9,0.556,2,3,0.667,3,6,0.5,0,0,,0.722,0,1,1,0,0,0,0,4,13,7.4,1,-10,G
21,Julian Champagnie,6.4,2026-06-05,24-341,SAS,,NYK,"L, 104-105",*,36,2,6,0.333,0,1,0,2,5,0.4,2,2,1,0.581,0,4,4,1,0,1,0,2,8,6.4,0.8,-8,F
22,Mitchell Robinson,6,2026-06-05,28-065,NYK,@,SAS,"W, 105-104",,14,2,2,1,2,2,1,0,0,,3,6,0.5,0.754,1,2,3,0,1,1,1,3,7,6,1.7,-10,C
23,Miles McBride,5.3,2026-06-03,25-268,NYK,@,SAS,"W, 105-95",,19,2,7,0.286,0,1,0,2,6,0.333,0,0,,0.429,0,1,1,4,0,1,0,1,6,5.3,5.8,11,G
24,Stephon Castle,4.8,2026-06-05,21-216,SAS,,NYK,"L, 104-105",*,28,5,14,0.357,3,10,0.3,2,4,0.5,2,4,0.5,0.444,0,4,4,4,1,0,4,4,14,4.8,-6.5,-6,G
25,Jose Alvarado,4.7,2026-06-03,28-052,NYK,@,SAS,"W, 105-95",,11,3,6,0.5,2,3,0.667,1,3,0.333,0,0,,0.583,0,4,4,1,1,0,1,3,7,4.7,4.8,4,G
26,Keldon Johnson,2.8,2026-06-05,26-237,SAS,,NYK,"L, 104-105",,16,1,4,0.25,1,2,0.5,0,2,0,1,2,0.5,0.307,1,3,4,2,1,0,1,1,3,2.8,-1.8,-5,G
27,Mitchell Robinson,2.4,2026-06-03,28-063,NYK,@,SAS,"W, 105-95",,13,1,2,0.5,1,2,0.5,0,0,,0,1,0,0.41,1,5,6,0,0,0,0,1,2,2.4,-2.5,-4,C
28,Luke Kornet,1.7,2026-06-05,30-325,SAS,,NYK,"L, 104-105",,8,0,0,,0,0,,0,0,,1,2,0.5,0.568,0,3,3,0,1,0,0,2,1,1.7,1.6,-7,C-F
29,Jose Alvarado,1.5,2026-06-05,28-054,NYK,@,SAS,"W, 105-104",,10,0,4,0,0,2,0,0,2,0,2,3,0.667,0.188,2,1,3,2,0,0,0,1,2,1.5,-9.3,11,G
30,Miles McBride,1.3,2026-06-05,25-270,NYK,@,SAS,"W, 105-104",,18,2,7,0.286,1,4,0.25,1,3,0.333,0,0,,0.357,2,0,2,2,0,0,2,1,5,1.3,-9.5,-1,G
31,Luke Kornet,0.1,2026-06-03,30-323,SAS,,NYK,"L, 95-105",,10,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,1,0,0,3,0,0.1,-4.4,-7,C-F
32,Harrison Barnes,0,2026-06-05,34-006,SAS,,NYK,"L, 104-105",,5,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,-4.3,-5,F
33,Harrison Barnes,-0.5,2026-06-03,34-004,SAS,,NYK,"L, 95-105",,12,0,2,0,0,0,,0,2,0,0,1,0,0,1,1,2,1,0,0,0,1,0,-0.5,-7.7,-2,F
34,Carter Bryant,-0.5,2026-06-03,20-189,SAS,,NYK,"L, 95-105",,4,0,1,0,0,0,,0,1,0,1,2,0.5,0.266,0,0,0,0,0,0,0,1,1,-0.5,-13.1,-4,G-F
35,Josh Hart,-0.5,2026-06-05,31-091,NYK,@,SAS,"W, 105-104",*,18,0,4,0,0,2,0,0,2,0,0,0,,0,0,6,6,4,1,1,2,5,0,-0.5,-9.6,-3,F-G
36,De'Aaron Fox,-0.6,2026-06-03,28-165,SAS,,NYK,"L, 95-105",*,38,3,13,0.231,3,9,0.333,0,4,0,1,2,0.5,0.252,0,4,4,5,1,0,3,5,7,-0.6,-9.9,0,G
37,Keldon Johnson,-0.6,2026-06-03,26-235,SAS,,NYK,"L, 95-105",,8,1,4,0.25,0,2,0,1,2,0.5,0,0,,0.375,0,0,0,0,0,0,0,3,3,-0.6,-9.5,1,G
38,Jordan Clarkson,-0.8,2026-06-03,33-361,NYK,@,SAS,"W, 105-95",,6,0,1,0,0,0,,0,1,0,0,0,,0,0,1,1,0,0,0,0,1,0,-0.8,-13.8,2,G
39,Carter Bryant,-1.8,2026-06-05,20-191,SAS,,NYK,"L, 104-105",,3,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,1,2,0,-1.8,-26.5,0,G-F
1,Victor Wembanyama,32.3,2026-06-08,22-155,SAS,@,NYK,"W, 115-111",*,39,11,18,0.611,9,14,0.643,2,4,0.5,8,9,0.889,0.729,1,7,8,6,2,3,1,3,32,32.3,18.2,7,C-F
2,OG Anunoby,23.5,2026-06-08,28-326,NYK,,SAS,"L, 111-115",*,38,9,13,0.692,6,6,1,3,7,0.429,7,9,0.778,0.825,0,5,5,1,0,2,1,2,28,23.5,12.6,-3,F
3,Stephon Castle,19.5,2026-06-08,21-219,SAS,@,NYK,"W, 115-111",*,38,8,14,0.571,6,9,0.667,2,5,0.4,5,6,0.833,0.691,1,4,5,5,1,1,2,4,23,19.5,5.2,6,G
4,Jalen Brunson,17.3,2026-06-08,29-281,NYK,,SAS,"L, 111-115",*,35,11,25,0.44,8,20,0.4,3,5,0.6,7,8,0.875,0.561,2,3,5,5,0,0,5,5,32,17.3,1.4,-9,G
5,Josh Hart,15.2,2026-06-08,31-094,NYK,,SAS,"L, 111-115",*,35,6,10,0.6,2,3,0.667,4,7,0.571,0,0,,0.8,1,8,9,5,0,0,2,2,16,15.2,9.3,-7,F-G
6,Karl-Anthony Towns,11.3,2026-06-08,30-205,NYK,,SAS,"L, 111-115",*,38,4,10,0.4,4,8,0.5,0,2,0,3,3,1,0.486,2,6,8,1,3,2,1,4,11,11.3,0.8,6,C-F
7,Julian Champagnie,9.9,2026-06-08,24-344,SAS,@,NYK,"W, 115-111",*,27,4,9,0.444,1,2,0.5,3,7,0.429,1,2,0.5,0.607,0,1,1,3,1,0,0,1,12,9.9,5.5,8,F
8,De'Aaron Fox,9.5,2026-06-08,28-170,SAS,@,NYK,"W, 115-111",*,37,4,14,0.286,4,9,0.444,0,5,0,4,4,1,0.381,0,3,3,8,1,2,2,3,12,9.5,-3.5,-7,G
9,Devin Vassell,8,2026-06-08,25-289,SAS,@,NYK,"W, 115-111",*,38,3,4,0.75,0,0,,3,4,0.75,2,3,0.667,1.034,0,4,4,0,0,0,1,3,11,8,-1,12,G-F
10,Dylan Harper,7.9,2026-06-08,20-098,SAS,@,NYK,"W, 115-111",,32,5,18,0.278,4,10,0.4,1,8,0.125,2,2,1,0.344,1,8,9,4,0,0,0,1,13,7.9,-7.7,-8,G
11,Jordan Clarkson,7.7,2026-06-08,34-001,NYK,,SAS,"L, 111-115",,13,4,7,0.571,2,5,0.4,2,2,1,0,0,,0.714,1,2,3,1,1,0,2,0,10,7.7,11.8,8,G
12,Mitchell Robinson,6.1,2026-06-08,28-068,NYK,,SAS,"L, 111-115",,7,2,3,0.667,2,3,0.667,0,0,,1,2,0.5,0.644,4,0,4,0,0,0,0,0,5,6.1,8.3,-13,C
13,Luke Kornet,6,2026-06-08,30-328,SAS,@,NYK,"W, 115-111",,9,0,1,0,0,1,0,0,0,,2,2,1,0.532,3,2,5,2,1,0,0,1,2,6,13.4,-3,C-F
14,Carter Bryant,2.6,2026-06-08,20-194,SAS,@,NYK,"W, 115-111",,4,1,1,1,0,0,,1,1,1,0,0,,1.5,0,0,0,0,0,1,0,2,3,2.6,23,-9,G-F
15,Jose Alvarado,2.5,2026-06-08,28-057,NYK,,SAS,"L, 111-115",,12,2,5,0.4,2,3,0.667,0,2,0,0,0,,0.4,0,3,3,1,0,0,0,1,4,2.5,-5.8,5,G
16,Keldon Johnson,1.9,2026-06-08,26-240,SAS,@,NYK,"W, 115-111",,17,3,5,0.6,3,5,0.6,0,0,,1,4,0.25,0.518,0,2,2,0,1,0,2,3,7,1.9,-10.9,14,G
17,Jeremy Sochan,0,2026-06-08,23-019,NYK,,SAS,"L, 111-115",,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,-4.9,0,F-G
18,Mikal Bridges,-0.1,2026-06-08,29-282,NYK,,SAS,"L, 111-115",*,29,1,5,0.2,1,2,0.5,0,3,0,0,0,,0.2,0,5,5,2,0,1,1,4,2,-0.1,-7.8,11,F-G
19,Landry Shamet,-0.1,2026-06-08,29-087,NYK,,SAS,"L, 111-115",,23,1,8,0.125,0,1,0,1,7,0.143,0,0,,0.188,2,2,4,2,0,1,0,5,3,-0.1,-8.3,-20,G
20,Miles McBride,-2.4,2026-06-08,25-273,NYK,,SAS,"L, 111-115",,9,0,2,0,0,0,,0,2,0,0,0,,0,0,0,0,0,0,0,1,0,0,-2.4,-20.1,2,G
